Vial ID,Sex,Treatment,Strain,Plate ID,Weight,Weight 2 (g),Body Fat (g),Percent,Concerns
93,M,1.0x,TL265,C9,0.0003524,0.0003558,-3.40E-06,-0.009648127,
47,M,3.0x,MV2-25,G8,0.0003332,0.0003077,0.0000255,0.076530612,MOLD
15,M,1.0x,MV2-25,F7,0.0002881,0.0002655,0.0000226,0.078444984,
86,M,0.5x,TL265,C10,0.0002839,0.000259,0.0000249,0.087706939,
7,M,3.0x,FS14,A5,0.0003106,0.00028,0.0000306,0.098518995,
4,F,1.0x,FS14,E9,0.0004725,0.0004258,0.0000467,0.098835979,
73,F,1.0x,MV2-25,C7,0.0006196,0.0005583,0.0000613,0.098934797,
37,F,1.0x,TL265,A3,0.0005117,0.0004605,0.0000512,0.100058628,
30,F,3.0x,MV2-25,C1,0.0003236,0.0002902,0.0000334,0.103213844,
78,F,0.5x,MV2-25,E3,0.0003645,0.0003241,0.0000404,0.110836763,
16,M,3.0x,TL265,C2,0.0003572,0.0003151,0.0000421,0.117861142,
84,M,0.5x,MV2-25,B1,0.0002789,0.000245,0.0000339,0.121548942,
50,F,0.5x,FS14,A2,0.0003519,0.0003083,0.0000436,0.123898835,
2,M,1.0x,MV2-25,D10,0.0003335,0.0002912,0.0000423,0.126836582,
49,F,3.0x,MV2-25,G5,0.0004961,0.0004329,0.0000632,0.127393671,MOLD
8,M,1.0x,TL265,B12,0.0003165,0.0002758,0.0000407,0.128593997,
60,F,1.0x,FS14,A11,0.0004945,0.000429,0.0000655,0.132457027,
54,M,0.5x,MV2-25,D11,0.0003521,0.0003048,0.0000473,0.134336836,
13,F,0.5x,FS14,A9,0.0005612,0.0004858,0.0000754,0.134354954,
18,M,1.0x,FS14,E10,0.0003066,0.0002652,0.0000414,0.135029354,
33,F,3.0x,FS14,B8,0.0002206,0.0001908,0.0000298,0.135086129,
12,F,1.0x,FS14,D7,0.0004737,0.0004077,0.000066,0.139328689,
6,M,3.0x,TL265,G9,0.0003501,0.0003012,0.0000489,0.139674379,MOLD
42,F,0.5x,TL265,B3,0.0004798,0.000412,0.0000678,0.141308879,
5,M,1.0x,TL265,B10,0.0003146,0.0002686,0.000046,0.146217419,Crushed after fat
74,M,0.5x,MV2-25,F5,0.0003156,0.0002675,0.0000481,0.152408112,
53,F,1.0x,MV2-25,A1,0.0005677,0.0004809,0.0000868,0.152897657,
44,F,0.5x,MV2-25,E5,0.0005232,0.0004408,8.24E-05,0.157492355,
59,M,0.5x,TL265,A12,0.000273,0.0002299,0.0000431,0.157875458,
3,M,1.0x,FS14,B7,0.0002975,0.0002504,0.0000471,0.158319328,
40,F,0.5x,TL265,E4,0.0005368,0.0004516,0.0000852,0.158718331,
9,M,0.5x,FS14,B4,0.0002845,0.0002391,0.0000454,0.159578207,
68,M,0.5x,MV2-25,F6,0.0003198,0.0002676,0.0000522,0.163227017,
31,M,1.0x,MV2-25,A8,0.0004704,0.0003936,0.0000768,0.163265306,
14,M,1.0x,MV2-25,C12,0.0003172,0.0002649,0.0000523,0.164880202,
41,F,3.0x,FS14,G11,0.0006614,0.0005436,0.0001178,0.178107046,MOLD
99,M,0.5x,FS14,E7,0.000254,0.0002086,0.0000454,0.178740157,
1,M,1.0x,MV2-25,D4,0.0003214,0.0002637,0.0000577,0.179527069,
91,M,3.0x,FS14,G10,0.0002919,0.0002386,0.0000533,0.18259678,MOLD
70,F,3.0x,MV2-25,C6,0.0006144,0.000502,0.0001124,0.182942708,
29,F,3.0x,TL265,G2,0.0005903,0.0004802,0.0001101,0.186515331,MOLD
88,M,3.0x,MV2-25,G1,0.0003459,0.0002792,0.0000667,0.192830298,MOLD
45,M,1.0x,TL265,A10,0.0003301,0.0002657,0.0000644,0.195092396,
67,M,3.0x,TL265,H2,0.0003034,0.0002441,0.0000593,0.195451549,MOLD
26,M,1.0x,FS14,F2,0.0003254,0.0002606,0.0000648,0.199139521,
51,F,0.5x,MV2-25,E11,0.0004243,0.0003393,0.000085,0.200329955,
76,F,0.5x,TL265,E12,0.000527,0.0004204,0.0001066,0.20227704,
55,M,3.0x,FS14,D12,0.0003255,0.0002581,0.0000674,0.207066052,
75,F,1.0x,TL265,C8,0.0004393,0.0003467,0.0000926,0.210789893,
83,F,1.0x,TL265,C11,0.0007642,0.0005983,0.0001659,0.217089767,
56,F,3.0x,FS14,H12,0.0006772,0.0005285,0.0001487,0.219580626,MOLD
48,M,0.5x,MV2-25,F3,0.0003397,0.0002612,0.0000785,0.231086253,
39,M,0.5x,TL265,F1,0.0005973,0.0004542,0.0001431,0.239578101,
77,M,3.0x,TL265,G12,0.0003492,0.0002626,0.0000866,0.247995418,MOLD
57,F,3.0x,TL265,B11,0.0007486,0.00055664,0.00019196,0.256425327,
28,F,3.0x,FS14,H1,0.000414,0.0003067,0.0001073,0.259178744,MOLD
80,F,3.0x,MV2-25,F12,0.000495,0.0003602,0.0001348,0.272323232,MOLD
43,F,3.0x,MV2-25,F11,0.0005511,0.0003941,0.000157,0.284884776,MOLD
52,M,3.0x,FS14,B6,0.0003086,0.0002191,0.0000895,0.290019443,
35,F,0.5x,MV2-25,D2,0.0006035,0.0004271,0.0001764,0.292294946,
87,F,3.0x,TL265,F10,0.0007847,0.0005533,0.0002314,0.294889767,
46,M,0.5x,TL265,B5,0.000392,0.0002673,0.0001247,0.318112245,
81,F,3.0x,TL265,G6,0.0005289,0.0003451,0.0001838,0.347513708,MOLD
10,F,0.5x,FS14,D9,0.0004802,NA,NA,NA,
17,F,0.5x,FS14,D6,0.0004739,NA,NA,NA,
21,F,0.5x,MV2-25,B2,0.000467,NA,NA,NA,Dropped
22,M,0.5x,FS14,D5,0.0003686,NA,NA,NA,
25,F,0.5x,TL265,E2,0.0005257,NA,NA,NA,"crushed, no fat"
38,F,0.5x,FS14,E8,0.0004159,NA,NA,NA,"crushed, no fat"
96,F,0.5x,TL265,E6,0.0006439,NA,NA,NA,
58,F,1.0x,TL265,D8,0.0006011,NA,NA,NA,
65,F,1.0x,TL265,F4,0.0004985,NA,NA,NA,
71,F,1.0x,MV2-25,C3,0.000486,NA,NA,NA,"crushed, no fat"
79,M,1.0x,FS14,B9,NA,NA,NA,NA,Crushed before weight
89,M,1.0x,TL265,D1,0.0001762,NA,NA,NA,
95,F,1.0x,FS14,D3,0.000198,NA,NA,NA,"crushed, no fat"
97,F,1.0x,FS14,C5,0.0005046,NA,NA,NA,
100,F,1.0x,MV2-25,E1,0.0005469,NA,NA,NA,
61,M,3.0x,MV2-25,F9,0.0003731,NA,NA,NA,
62,F,3.0x,TL265,G7,0.0004393,NA,NA,NA,MOLD
72,M,3.0x,FS14,G4,0.0003621,NA,NA,NA,MOLD
90,M,3.0x,MV2-25,G3,0.0003305,NA,NA,NA,MOLD
92,F,3.0x,FS14,F8,0.000661,NA,NA,NA,
19,M,0.5x,FS14,A7,NA,NA,#VALUE!,NA,Crushed before weight
94,M,0.5x,FS14,A4,0.0003179,NA,NA,NA,Crush before fat
34,M,1.0x,FS14,A6,0.0003406,NA,#VALUE!,NA,Crushed before fat
69,F,1.0x,MV2-25,C4,0.0005439,0.0004847,Na,NA,
